,Author,Title,Publication Date,Journal,DOI or ISSN or Link,Documented or Projected,Date Range of Study,Year,Study Area,Continent or Region,Country,Freshwater Ecoregion,Major Habitat Type,Waterbody Type,Lentic or Lotic,Climate Change Variable,Focal Species or Assemblage,Additional Species,Response Category,Response Variable,Fish_Response,Thermal Guild,Family or Fish Assemblage,Feeding Type,Feeding Habit,Reproductive Guild - Parental Care,Reproductive Guild - Pattern of Care,Binary Response,Management Recommendations
103,Gibson-Reinemer et al.,Natural and anthropogenic barriers to climate tracking in river fishes along a mountain–plains transition zone,2017,Diversity and Distributions,10.1111/ddi.12576,documented,1970-2009,1989,"Big Thompson River, in Rocky Mountains of Colorado",North America,United States,Middle Missouri,Temperate floodplain rivers and wetlands,stream,lotic,temperature,Orangespotted Sunfish (Lepomis humilis),NA,distributional,range shifts,no change,warm,Centrarchidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),guarders,nesters,unknown,Conduct research and/or monitoring
104,Gibson-Reinemer et al.,Natural and anthropogenic barriers to climate tracking in river fishes along a mountain–plains transition zone,2017,Diversity and Distributions,10.1111/ddi.12576,documented,1970-2009,1989,"St. Vrain Creek, in Rocky Mountains of Colorado",North America,United States,Middle Missouri,Temperate floodplain rivers and wetlands,stream,lotic,temperature,Orangespotted Sunfish (Lepomis humilis),NA,distributional,range shifts,no change,warm,Centrarchidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),guarders,nesters,unknown,Conduct research and/or monitoring
105,Gibson-Reinemer et al.,Natural and anthropogenic barriers to climate tracking in river fishes along a mountain–plains transition zone,2017,Diversity and Distributions,10.1111/ddi.12576,documented,1970-2009,1989,"Cache la Poudre River, in the Rocky Mountains of Colorado",North America,United States,Middle Missouri,Temperate floodplain rivers and wetlands,stream,lotic,temperature,Plains topminnow (Fundulus sciadicus),NA,distributional,range shifts,decrease,unknown,Fundulidae,mainly animals (troph. 2.8 and up),variable,nonguarders,open water/substratum egg scatterers,negative (-),Conduct research and/or monitoring
106,Gibson-Reinemer et al.,Natural and anthropogenic barriers to climate tracking in river fishes along a mountain–plains transition zone,2017,Diversity and Distributions,10.1111/ddi.12576,documented,1970-2009,1989,"Big Thompson River, in Rocky Mountains of Colorado",North America,United States,Middle Missouri,Temperate floodplain rivers and wetlands,stream,lotic,temperature,Plains topminnow (Fundulus sciadicus),NA,distributional,range shifts,increase,unknown,Fundulidae,mainly animals (troph. 2.8 and up),variable,nonguarders,open water/substratum egg scatterers,positive (+),Conduct research and/or monitoring
107,Gibson-Reinemer et al.,Natural and anthropogenic barriers to climate tracking in river fishes along a mountain–plains transition zone,2017,Diversity and Distributions,10.1111/ddi.12576,documented,1970-2009,1989,"St. Vrain Creek, in Rocky Mountains of Colorado",North America,United States,Middle Missouri,Temperate floodplain rivers and wetlands,stream,lotic,temperature,Plains topminnow (Fundulus sciadicus),NA,distributional,range shifts,decrease,unknown,Fundulidae,mainly animals (troph. 2.8 and up),variable,nonguarders,open water/substratum egg scatterers,negative (-),Conduct research and/or monitoring
108,Gibson-Reinemer et al.,Natural and anthropogenic barriers to climate tracking in river fishes along a mountain–plains transition zone,2017,Diversity and Distributions,10.1111/ddi.12576,documented,1970-2009,1989,"Cache la Poudre River, in the Rocky Mountains of Colorado",North America,United States,Middle Missouri,Temperate floodplain rivers and wetlands,stream,lotic,temperature,Red Shiner (Cyprinella lutrensis),NA,distributional,range shifts,increase,warm,Cyprinidae,plants/detritus+animals (troph. 2.2-2.79),variable,nonguarders,open water/substratum egg scatterers,positive (+),Conduct research and/or monitoring
109,Gibson-Reinemer et al.,Natural and anthropogenic barriers to climate tracking in river fishes along a mountain–plains transition zone,2017,Diversity and Distributions,10.1111/ddi.12576,documented,1970-2009,1989,"Big Thompson River, in Rocky Mountains of Colorado",North America,United States,Middle Missouri,Temperate floodplain rivers and wetlands,stream,lotic,temperature,Red Shiner (Cyprinella lutrensis),NA,distributional,range shifts,no change,warm,Cyprinidae,plants/detritus+animals (troph. 2.2-2.79),variable,nonguarders,open water/substratum egg scatterers,unknown,Conduct research and/or monitoring
110,Gibson-Reinemer et al.,Natural and anthropogenic barriers to climate tracking in river fishes along a mountain–plains transition zone,2017,Diversity and Distributions,10.1111/ddi.12576,documented,1970-2009,1989,"St. Vrain Creek, in Rocky Mountains of Colorado",North America,United States,Middle Missouri,Temperate floodplain rivers and wetlands,stream,lotic,temperature,Red Shiner (Cyprinella lutrensis),NA,distributional,range shifts,decrease,warm,Cyprinidae,plants/detritus+animals (troph. 2.2-2.79),variable,nonguarders,open water/substratum egg scatterers,negative (-),Conduct research and/or monitoring
111,Gibson-Reinemer et al.,Natural and anthropogenic barriers to climate tracking in river fishes along a mountain–plains transition zone,2017,Diversity and Distributions,10.1111/ddi.12576,documented,1970-2009,1989,"Cache la Poudre River, in the Rocky Mountains of Colorado",North America,United States,Middle Missouri,Temperate floodplain rivers and wetlands,stream,lotic,temperature,Sand Shiner (Notropis stramineus),NA,distributional,range shifts,decrease,warm,Cyprinidae,plants/detritus+animals (troph. 2.2-2.79),variable,nonguarders,open water/substratum egg scatterers,negative (-),Conduct research and/or monitoring
112,Gibson-Reinemer et al.,Natural and anthropogenic barriers to climate tracking in river fishes along a mountain–plains transition zone,2017,Diversity and Distributions,10.1111/ddi.12576,documented,1970-2009,1989,"Big Thompson River, in Rocky Mountains of Colorado",North America,United States,Middle Missouri,Temperate floodplain rivers and wetlands,stream,lotic,temperature,Sand Shiner (Notropis stramineus),NA,distributional,range shifts,decrease,warm,Cyprinidae,plants/detritus+animals (troph. 2.2-2.79),variable,nonguarders,open water/substratum egg scatterers,negative (-),Conduct research and/or monitoring
113,Gibson-Reinemer et al.,Natural and anthropogenic barriers to climate tracking in river fishes along a mountain–plains transition zone,2017,Diversity and Distributions,10.1111/ddi.12576,documented,1970-2009,1989,"St. Vrain Creek, in Rocky Mountains of Colorado",North America,United States,Middle Missouri,Temperate floodplain rivers and wetlands,stream,lotic,temperature,Sand Shiner (Notropis stramineus),NA,distributional,range shifts,decrease,warm,Cyprinidae,plants/detritus+animals (troph. 2.2-2.79),variable,nonguarders,open water/substratum egg scatterers,negative (-),Conduct research and/or monitoring
114,Ramirez et al.,Drought Facilitates Species Invasions in an Urban Stream: Results From a Long-Term Study of Tropical Island Fish Assemblage Structure,2018,Frontiers in Ecology and Evolution,10.3389/fevo.2018.00115,documented,2008-2016,2012,"urban stream in the Rio Piedras watershed, San Juan, Puerto Rico",North America,United States,Puerto Rico - Virgin Islands,Tropical and subtropical coastal rivers,stream,lotic,flow,Fish Assemblage,NA,demographic,total assemblage abundance; introduced fish abundance,variable,warm,Fish Assemblage,NA,NA,NA,NA,mixed effects (+/-),No formal management recommendation
115,Ramirez et al.,Drought Facilitates Species Invasions in an Urban Stream: Results From a Long-Term Study of Tropical Island Fish Assemblage Structure,2018,Frontiers in Ecology and Evolution,10.3389/fevo.2018.00115,documented,2008-2016,2012,"urban stream in the Rio Piedras watershed, San Juan, Puerto Rico",North America,United States,Puerto Rico - Virgin Islands,Tropical and subtropical coastal rivers,stream,lotic,flow,Fish Assemblage,NA,assemblage dynamics,total species richness; introduced species richness,variable,warm,Fish Assemblage,NA,NA,NA,NA,mixed effects (+/-),No formal management recommendation
116,McCann et al.,Corresponding long-term shifts in stream temperature and invasive fish migration,2018,Canadian Journal of Fisheries and Aquatic Sciences,10.1139/cjfas-2017-0195,documented,1984-2014,1999,Lauretian Great Lakes and tributary streams,North America,"Canada, United States",Laurentian Great Lakes,Large lakes,"lake, stream","lentic, lotic",temperature,Sea Lamprey (Petromyzon marinus),NA,phenological,migration; spawning time,increase,cool,Petromyzontidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),guarders,nesters,negative (-),Conduct research and/or monitoring
117,Hansen et al.,Walleye recruitment success is less resilient to warming water temperatures in lakes with abundant largemouth bass populations,2018,Canadian Journal of Fisheries and Aquatic Sciences,10.1139/cjfas-2016-0249,documented,1980-2014,1997,Wisconsin,North America,United States,Laurentian Great Lakes; Upper Mississippi,Large lakes; Temperate floodplain rivers and wetlands,lake,lentic,temperature,Walleye (Sander vitreus),Largemouth bass (Micropterus salmoides),demographic,recruitment,variable,cool,Percidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,open water/substratum egg scatterers,mixed effects (+/-),Other
118,Glassic and Gaeta,Littoral habitat loss caused by multiyear drought and the response of an endemic fish species in a deep desert lake,2019,Freshwater Biology,10.1111/fwb.13231,documented,1990-2012; 2017-2018,2001,"Bear Lake, on the border of northern Utah and Idaho",North America,United States,Bonneville,Xeric freshwaters and endorheic (closed) basins,lake,lentic,flow,Bear Lake sculpin (Cottus extensus),"Utah Bonneville Cutthroat Trout (Oncorynchus clarkii utah), Lake Trout (Salvelinus namaycush)",demographic,catch per unit effort; recruitment,decrease,cold,Cottidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),guarders,nesters,negative (-),Conduct research and/or monitoring; Restore aquatic and associated terrestrial habitats
119,Goertler et al.,Lamprey (Entosphenus sp. and Lampetra sp.) estuarine occupancy is regionally variable and constrained by temperature,2019,Journal of Fish Biology,10.1111/jfb.14143,documented,2006 - 2016,2011,"Sacremento-San Joaquin watershed (3 bays, confluence, lower portions of Sacremento and San Joaquin Rivers)",North America,United States,Sacramento - San Joaquin,Temperate coastal rivers,stream,lotic,temperature,Pacific Lamprey (Entospherus tridentatus),NA,distributional,range,decrease,unknown,Petromyzontidae,mainly animals (troph. 2.8 and up),feeding on a host (parasite),nonguarders,open water/substratum egg scatterers,negative (-),Conduct research and/or monitoring; Other
120,Goertler et al.,Lamprey (Entosphenus sp. and Lampetra sp.) estuarine occupancy is regionally variable and constrained by temperature,2019,Journal of Fish Biology,10.1111/jfb.14143,documented,2006 - 2016,2011,"Sacremento-San Joaquin watershed (3 bays, confluence, lower portions of Sacremento and San Joaquin Rivers)",North America,United States,Sacramento - San Joaquin,Temperate coastal rivers,stream,lotic,temperature,Western Brook Lamprey (Lampetra richardsoni),NA,distributional,range,decrease,unknown,Petromyzontidae,plants/detritus+animals (troph. 2.2-2.79),filtering plankton,guarders,nesters,negative (-),Conduct research and/or monitoring; Other
121,Goertler et al.,Lamprey (Entosphenus sp. and Lampetra sp.) estuarine occupancy is regionally variable and constrained by temperature,2019,Journal of Fish Biology,10.1111/jfb.14143,documented,2006 - 2016,2014,"Sacremento-San Joaquin watershed (3 bays, confluence, lower portions of Sacremento and San Joaquin Rivers)",North America,United States,Sacramento - San Joaquin,Temperate coastal rivers,stream,lotic,temperature,Western River Lamprey (Lampetra ayresii),NA,distributional,range,decrease,unknown,Petromyzontidae,mainly animals (troph. 2.8 and up),feeding on a host (parasite),guarders,nesters,negative (-),Conduct research and/or monitoring; Other
122,Vorste et al.,Refuges and ecological traps: extreme drought threatens persistence of an endangered fish in intermittent streams,2020,Global Change Biology,10.1111/gcb.15116,documented,2011-2017,2009,"Russian river in north California (Dutch Bill, Green Valley, Mill, and Grape creeks)",North America,United States,Oregon & Northern California Coastal; Sacramento - San Joaquin,Temperate coastal rivers,stream,lotic,precipitation,Coho Salmon (Oncorhynchus kisutch),NA,demographic,juvenile survival estimate in streams and pools,decrease,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,nesters,negative (-),Conduct research and/or monitoring
123,Glassic et al.,The influence of multiyear drought and associated reduction in tributary connectivity on an adfluvial fish species,2020,Ecology of Freshwater Fish,10.1111/eff.12535,documented,2004-2015,2009,Bear Lake of Utah and Idaho,North America,United States,Bonneville,Xeric freshwaters and endorheic (closed) basins,lake,lentic,"flow, precipitation",Bonneville Cutthroat Trout (Oncorhynchus clarkii utah),NA,demographic,recruitment of adults and juveniles,decrease,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,brood hiders,negative (-),Conduct research and/or monitoring; Protect refugial populations and/or habitats; Restore connectivity
124,Glassic et al.,The influence of multiyear drought and associated reduction in tributary connectivity on an adfluvial fish species,2020,Ecology of Freshwater Fish,10.1111/eff.12535,documented,2004-2015,2009,Bear Lake of Utah and Idaho,North America,United States,Bonneville,Xeric freshwaters and endorheic (closed) basins,lake,lentic,"flow, precipitation",Bonneville Cutthroat Trout (Oncorhynchus clarkii utah),NA,demographic,growth rate of individuals,no change,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,brood hiders,no effect,Conduct research and/or monitoring; Protect refugial populations and/or habitats; Restore connectivity
125,Glassic et al.,The influence of multiyear drought and associated reduction in tributary connectivity on an adfluvial fish species,2020,Ecology of Freshwater Fish,10.1111/eff.12535,documented,2004-2015,2009,Bear Lake of Utah and Idaho,North America,United States,Bonneville,Xeric freshwaters and endorheic (closed) basins,lake,lentic,"flow, precipitation",Bonneville Cutthroat Trout (Oncorhynchus clarkii utah),NA,demographic,growth rate at population level,variable,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,brood hiders,mixed effects (+/-),Conduct research and/or monitoring; Protect refugial populations and/or habitats; Restore connectivity
126,Glassic et al.,The influence of multiyear drought and associated reduction in tributary connectivity on an adfluvial fish species,2020,Ecology of Freshwater Fish,10.1111/eff.12535,documented,2004-2015,2009,Bear Lake of Utah and Idaho,North America,United States,Bonneville,Xeric freshwaters and endorheic (closed) basins,lake,lentic,"flow, precipitation",Bonneville Cutthroat Trout (Oncorhynchus clarkii utah),NA,demographic,recruitment of adults and juveniles,decrease,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,brood hiders,negative (-),Conduct research and/or monitoring; Protect refugial populations and/or habitats; Restore connectivity
127,Glassic et al.,The influence of multiyear drought and associated reduction in tributary connectivity on an adfluvial fish species,2020,Ecology of Freshwater Fish,10.1111/eff.12535,documented,2004-2015,2009,Bear Lake of Utah and Idaho,North America,United States,Bonneville,Xeric freshwaters and endorheic (closed) basins,lake,lentic,"flow, precipitation",Bonneville Cutthroat Trout (Oncorhynchus clarkii utah),NA,demographic,growth rate of individuals,no change,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,brood hiders,no effect,Conduct research and/or monitoring; Protect refugial populations and/or habitats; Restore connectivity
128,Glassic et al.,The influence of multiyear drought and associated reduction in tributary connectivity on an adfluvial fish species,2020,Ecology of Freshwater Fish,10.1111/eff.12535,documented,2004-2015,2009,Bear Lake of Utah and Idaho,North America,United States,Bonneville,Xeric freshwaters and endorheic (closed) basins,lake,lentic,"flow, precipitation",Bonneville Cutthroat Trout (Oncorhynchus clarkii utah),NA,demographic,growth rate at population level,variable,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,brood hiders,mixed effects (+/-),Conduct research and/or monitoring; Protect refugial populations and/or habitats; Restore connectivity
129,von Biela et al.,Lake trout growth is sensitive to spring temperature in southwest alaska lakes,2020,Ecology of Freshwater Fish,10.1111/eff.12566,documented,1990-2011,2000,"7 lakes in Lake Clark National Park and Preserve in southwest Alaska (Lakes Fishtrap, Kijik, Kontrashibuna, Lachbuna, Clark, Portage, Telequana)",North America,United States,Alaskan Coastal,Polar freshwaters,lake,lentic,temperature,Lake Trout (Salvelinus namaycush),NA,demographic,annual growth,increase,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,open water/substratum egg scatterers,positive (+),Conduct research and/or monitoring
130,von Biela et al.,Lake trout growth is sensitive to spring temperature in southwest alaska lakes,2020,Ecology of Freshwater Fish,10.1111/eff.12566,documented,1990-2011,2000,"7 lakes in Lake Clark National Park and Preserve in southwest Alaska (Lakes Fishtrap, Kijik, Kontrashibuna, Lachbuna, Clark, Portage, Telequana)",North America,United States,Alaskan Coastal,Polar freshwaters,lake,lentic,ice cover,Lake Trout (Salvelinus namaycush),NA,demographic,annual growth,increase,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,open water/substratum egg scatterers,positive (+),Conduct research and/or monitoring
131,von Biela et al.,Lake trout growth is sensitive to spring temperature in southwest alaska lakes,2020,Ecology of Freshwater Fish,10.1111/eff.12566,documented,1990-2011,2000,"7 lakes in Lake Clark National Park and Preserve in southwest Alaska (Lakes Fishtrap, Kijik, Kontrashibuna, Lachbuna, Clark, Portage, Telequana)",North America,United States,Alaskan Coastal,Polar freshwaters,lake,lentic,temperature,Lake Trout (Salvelinus namaycush),Sockeye salmon (Oncorhynchus nerka),demographic,annual growth,no change,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,open water/substratum egg scatterers,no effect,Conduct research and/or monitoring
132,von Biela et al.,Lake trout growth is sensitive to spring temperature in southwest alaska lakes,2020,Ecology of Freshwater Fish,10.1111/eff.12566,documented,1990-2011,2000,"7 lakes in Lake Clark National Park and Preserve in southwest Alaska (Lakes Fishtrap, Kijik, Kontrashibuna, Lachbuna, Clark, Portage, Telequana)",North America,United States,Alaskan Coastal,Polar freshwaters,lake,lentic,temperature,Lake Trout (Salvelinus namaycush),NA,demographic,annual growth,increase,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,open water/substratum egg scatterers,positive (+),Conduct research and/or monitoring
133,von Biela et al.,Lake trout growth is sensitive to spring temperature in southwest alaska lakes,2020,Ecology of Freshwater Fish,10.1111/eff.12566,documented,1990-2011,2000,"7 lakes in Lake Clark National Park and Preserve in southwest Alaska (Lakes Fishtrap, Kijik, Kontrashibuna, Lachbuna, Clark, Portage, Telequana)",North America,United States,Alaskan Coastal,Polar freshwaters,lake,lentic,ice cover,Lake Trout (Salvelinus namaycush),NA,demographic,annual growth,increase,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,open water/substratum egg scatterers,positive (+),Conduct research and/or monitoring
134,von Biela et al.,Lake trout growth is sensitive to spring temperature in southwest alaska lakes,2020,Ecology of Freshwater Fish,10.1111/eff.12566,documented,1990-2011,2000,"7 lakes in Lake Clark National Park and Preserve in southwest Alaska (Lakes Fishtrap, Kijik, Kontrashibuna, Lachbuna, Clark, Portage, Telequana)",North America,United States,Alaskan Coastal,Polar freshwaters,lake,lentic,temperature,Lake Trout (Salvelinus namaycush),Sockeye salmon (Oncorhynchus nerka),demographic,annual growth,no change,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,open water/substratum egg scatterers,no effect,Conduct research and/or monitoring
135,Macuch et al.,High-frequency data for temperature and oxygen reveal the potential for stressful conditions for fish in a southern new england impoundment,2020,Northeastern Naturalist,10.1656/045.027.0311,documented,2011-2015,2013,"Lake Lillinonah, western Connecticut",North America,United States,Northeast US & Southeast Canada Atlantic Drainages,Temperate coastal rivers,lake,lentic,temperature,Largemouth Bass (Micropterus salmoides),NA,demographic,thermal tolerance (optimal water temperature for growth),no change,warm,Centrarchidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),guarders,nesters,no effect,Protect refugial populations and/or habitats
136,Macuch et al.,High-frequency data for temperature and oxygen reveal the potential for stressful conditions for fish in a southern new england impoundment,2020,Northeastern Naturalist,10.1656/045.027.0311,documented,2011-2015,2013,"Lake Lillinonah, western Connecticut",North America,United States,Northeast US & Southeast Canada Atlantic Drainages,Temperate coastal rivers,lake,lentic,temperature,Largemouth Bass (Micropterus salmoides),NA,demographic,thermal tolerance (optimal water temperature for growth),no change,warm,Centrarchidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),guarders,nesters,no effect,Protect refugial populations and/or habitats
137,Macuch et al.,High-frequency data for temperature and oxygen reveal the potential for stressful conditions for fish in a southern new england impoundment,2020,Northeastern Naturalist,10.1656/045.027.0311,documented,2011-2015,2013,"Lake Lillinonah, western Connecticut",North America,United States,Northeast US & Southeast Canada Atlantic Drainages,Temperate coastal rivers,lake,lentic,temperature,Northern Pike (Esox lucius),NA,demographic,thermal tolerance (optimal water temperature for growth),decrease,cool,Esocidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,brood hiders,negative (-),Protect refugial populations and/or habitats
138,Macuch et al.,High-frequency data for temperature and oxygen reveal the potential for stressful conditions for fish in a southern new england impoundment,2020,Northeastern Naturalist,10.1656/045.027.0311,documented,2011-2015,2013,"Lake Lillinonah, western Connecticut",North America,United States,Northeast US & Southeast Canada Atlantic Drainages,Temperate coastal rivers,lake,lentic,temperature,Northern Pike (Esox lucius),NA,demographic,thermal tolerance (optimal water temperature for growth),decrease,cool,Esocidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,brood hiders,negative (-),Protect refugial populations and/or habitats
139,Kaeding et al.,New climate regime started and further shaped the historic yellowstone lake cutthroat trout population decline commonly attributed entirely to nonnative lake trout predation,2020,Aquatic Ecology,10.1007/s10452-020-09765-x,documented,1977-2007,1992,"Yellowstone Lake and Clear Lake, Wyoming",North America,United States,Upper Missouri,Temperate upland rivers,lake,lentic,"flow, temperature",Yellowstone Cutthroat Trout (Oncorhynchus clarkii bouvieri),NA,demographic,reproduction as a population dynamic,decrease,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,brood hiders,negative (-),Conduct research and/or monitoring; Prioritize populations based on vulnerability
140,Kaeding et al.,New climate regime started and further shaped the historic yellowstone lake cutthroat trout population decline commonly attributed entirely to nonnative lake trout predation,2020,Aquatic Ecology,10.1007/s10452-020-09765-x,documented,1977-2007,1992,"Yellowstone Lake and Clear Lake, Wyoming",North America,United States,Upper Missouri,Temperate upland rivers,lake,lentic,"flow, temperature",Yellowstone Cutthroat Trout (Oncorhynchus clarkii bouvieri),NA,demographic,reproduction as a population dynamic,decrease,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,brood hiders,negative (-),Conduct research and/or monitoring; Prioritize populations based on vulnerability
141,Caldwell et al.,"Ecosystem response to earlier ice break-up date: climate-driven changes to water temperature, lake-habitat-specific production, and trout habitat and resource use",2020,Global Change Biology,10.1111/gcb.15258,documented,2008-2016,2012,"Castle Lake, California, United States of America",North America,United States,Oregon & Northern California Coastal,Temperate coastal rivers,lake,lentic,temperature,Brook Trout (Salvelinus fontinalis),NA,demographic,biomass,variable,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,brood hiders,mixed effects (+/-),No formal management recommendation
142,Caldwell et al.,"Ecosystem response to earlier ice break-up date: climate-driven changes to water temperature, lake-habitat-specific production, and trout habitat and resource use",2020,Global Change Biology,10.1111/gcb.15258,documented,2008-2017,2012,"Castle Lake, California, United States of America",North America,United States,Oregon & Northern California Coastal,Temperate coastal rivers,lake,lentic,temperature,Brook Trout (Salvelinus fontinalis),NA,phenological,foraging in littoral habitat (feeding behavior),variable,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,brood hiders,mixed effects (+/-),No formal management recommendation
143,Jones et al.,Watershed-scale climate influences productivity of chinook salmon populations across southcentral alaska,2020,Global Change Biology,10.1111/gcb.15155,documented,1999-2016,2007,"Cook Inlet basin, southcentral Alaska, United States of America",North America,United States,Alaska & Canada Pacific Coastal,Temperate coastal rivers,stream,lotic,"flow, precipitation, temperature",Chinook Salmon (Oncorhynchus tshawytscha),NA,assemblage dynamics,species productivity,variable,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,nesters,mixed effects (+/-),Conduct research and/or monitoring
144,Murdoch et al.,Impacts of co-occurring environmental changes on alaskan stream fishes,2020,Freshwater Biology,10.1111/fwb.13569,documented,1988-2016,2002,"Alaska, United States of America",North America,United States,Alaskan Coastal; Upper Yukon; Alaska & Canada Pacific Coastal,Polar freshwaters; Temperate coastal rivers,stream,lotic,precipitation,Arctic Grayling (Thymallus arcticus),NA,demographic,abundance,variable,cold,Salmonidae,mainly animals (troph. 2.8 and up),browsing on substrate,nonguarders,brood hiders,mixed effects (+/-),Other
145,Murdoch et al.,Impacts of co-occurring environmental changes on alaskan stream fishes,2020,Freshwater Biology,10.1111/fwb.13569,documented,1988-2016,2002,"Alaska, United States of America",North America,United States,Alaskan Coastal; Upper Yukon; Alaska & Canada Pacific Coastal,Polar freshwaters; Temperate coastal rivers,stream,lotic,temperature,Arctic Grayling (Thymallus arcticus),NA,demographic,abundance,decrease,cold,Salmonidae,mainly animals (troph. 2.8 and up),browsing on substrate,nonguarders,brood hiders,negative (-),Other
146,Murdoch et al.,Impacts of co-occurring environmental changes on alaskan stream fishes,2020,Freshwater Biology,10.1111/fwb.13569,documented,1988-2016,2002,"Alaska, United States of America",North America,United States,Alaskan Coastal; Upper Yukon; Alaska & Canada Pacific Coastal,Polar freshwaters; Temperate coastal rivers,stream,lotic,temperature,Chinook Salmon (Oncorhynchus tshawytscha),NA,demographic,abundance,decrease,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,nesters,negative (-),Other
147,Murdoch et al.,Impacts of co-occurring environmental changes on alaskan stream fishes,2020,Freshwater Biology,10.1111/fwb.13569,documented,1988-2016,2002,"Alaska, United States of America",North America,United States,Alaskan Coastal; Upper Yukon; Alaska & Canada Pacific Coastal,Polar freshwaters; Temperate coastal rivers,stream,lotic,temperature,Coho Salmon (Oncorhynchus kisutch),NA,demographic,abundance,decrease,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,nesters,negative (-),Other
148,Murdoch et al.,Impacts of co-occurring environmental changes on alaskan stream fishes,2020,Freshwater Biology,10.1111/fwb.13569,documented,1988-2016,2002,"Alaska, United States of America",North America,United States,Alaskan Coastal; Upper Yukon; Alaska & Canada Pacific Coastal,Polar freshwaters; Temperate coastal rivers,stream,lotic,temperature,Dolly Varden (Salvelinus malma),NA,demographic,abundance,increase,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,brood hiders,positive (+),Other
149,Murdoch et al.,Impacts of co-occurring environmental changes on alaskan stream fishes,2020,Freshwater Biology,10.1111/fwb.13569,documented,1988-2016,2002,"Alaska, United States of America",North America,United States,Alaskan Coastal; Upper Yukon; Alaska & Canada Pacific Coastal,Polar freshwaters; Temperate coastal rivers,stream,lotic,precipitation,Dolly Varden (Salvelinus malma),NA,demographic,abundance,increase,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,brood hiders,positive (+),Other
150,Murdoch et al.,Impacts of co-occurring environmental changes on alaskan stream fishes,2020,Freshwater Biology,10.1111/fwb.13569,documented,1988-2016,2002,"Alaska, United States of America",North America,United States,Alaskan Coastal; Upper Yukon; Alaska & Canada Pacific Coastal,Polar freshwaters; Temperate coastal rivers,stream,lotic,"precipitation, temperature",Fish Assemblage,NA,assemblage dynamics,species richness,increase,cold,Fish Assemblage,NA,NA,NA,NA,positive (+),Other
151,Murdoch et al.,Impacts of co-occurring environmental changes on alaskan stream fishes,2020,Freshwater Biology,10.1111/fwb.13569,documented,1988-2016,2002,"Alaska, United States of America",North America,United States,Alaskan Coastal; Upper Yukon; Alaska & Canada Pacific Coastal,Polar freshwaters; Temperate coastal rivers,stream,lotic,precipitation,Sockeye Salmon (Oncorhynchus nerka),NA,demographic,abundance,decrease,cold,Salmonidae,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),nonguarders,nesters,negative (-),Other
